dataID,dataSet,original_ID,country,state,locality,year,lat,lon
ebird0001,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS136056489,Brazil,Mato Grosso,Fazenda Barranquinho,1985,-15.642929,-57.4751612
ebird0002,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS360791303,Brazil,Mato Grosso do Sul,Fazenda Iguacu,1988,-19.9498726,-55.8166409
ebird0003,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS960805654,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,1989,-17.3645242,-56.7751122
ebird0004,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS850153060,Brazil,Pará,Smithsonian Camp--1986,1986,-3.65,-52.3666667
ebird0005,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS428937508,Brazil,Mato Grosso,Pantanal -- Pousada Pouso Alegre,1995,-16.5030776,-56.7453337
ebird0006,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS850457264,Brazil,Pará,Smithsonian Camp--1986,1986,-3.65,-52.3666667
ebird0007,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS709274227,Brazil,Pará,"FLONA Carajás--estrada N1-rio Itacaiúnas, km 7",1983,-5.981349,-50.3173289
ebird0008,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS851532486,Brazil,Pará,Smithsonian Camp--1986,1986,-3.65,-52.3666667
ebird0009,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS859519056,Brazil,Pará,Smithsonian Camp--1986,1986,-3.65,-52.3666667
ebird0010,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS885167599,Brazil,Mato Grosso do Sul,Rio Cuiaba,2000,-17.3667374,-56.7761655
ebird0011,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS752031781,Brazil,Mato Grosso do Sul,Pantanal area - south,2002,-19.2288205,-57.0610424
ebird0012,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS112866196,Brazil,Mato Grosso do Sul,"Refugio Ecologico Caiman, Brazil",2004,-20.2918254,-56.2204742
ebird0013,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS112841995,Brazil,Mato Grosso do Sul,"Refugio Ecologico Caiman, Brazil",2004,-20.2918254,-56.2204742
ebird0014,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS145602380,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2006,-16.3786111,-56.6208333
ebird0015,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS671496642,Brazil,Mato Grosso do Sul,Pantanal,2007,-19.7378989,-56.8907902
ebird0016,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS452358023,Brazil,Pará,"Rebio Tapirapé-Aquiri, Serra dos Carajás",2008,-5.5561183,-50.5156397
ebird0017,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS505288731,Brazil,Mato Grosso,"Porto Joffre 78175, Poconé BR-MT (-17,3651,-56,7748)",2008,-17.365132,-56.774826
ebird0018,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS258444155,Brazil,Mato Grosso do Sul,Passo do Lontra,2009,-19.5748125,-57.0380652
ebird0019,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS830244774,Brazil,Mato Grosso do Sul,Bodoquena--Fazenda Boca da Onça,2009,-20.7397399,-56.7310059
ebird0020,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS834277581,Brazil,Mato Grosso do Sul,Bonito--Pousada Olho d'Água,2009,-21.1159599,-56.5138409
ebird0021,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS351454058,Brazil,Tocantins,BR-TO-Xambioá,2009,-6.443599,-48.563071
ebird0022,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS963814931,Brazil,Mato Grosso,Hotel Pantanal Mato Grosso--sede,2009,-16.7479566,-56.8570536
ebird0023,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS80215045,Brazil,Mato Grosso,"North Pantanal, Brazil",2009,-16.3369427,-56.6400146
ebird0024,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS777195093,Brazil,Mato Grosso,Reserva Ecologica Jaguar,2010,-17.1027162,-56.9430464
ebird0025,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS96853315,Brazil,Mato Grosso,Pantanal--northern Transpantaneira (km 0-60),2010,-16.4569228,-56.69135
ebird0026,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS98973819,Brazil,Mato Grosso,pouso alegre,2010,-16.5572272,-56.7646408
ebird0027,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS110789250,Brazil,Mato Grosso,north Transpantaneira roadside wetland,2010,-16.34982,-56.64481
ebird0028,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS97054546,Brazil,Mato Grosso,Transpanteneira - Pouso Alegre,2010,-16.7295914,-56.8089294
ebird0029,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS103063561,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2010,-16.3786111,-56.6208333
ebird0030,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS397981998,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2010,-16.5122399,-56.7117691
ebird0031,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS97399316,Brazil,Mato Grosso,Pouso Alegre Lodge,2010,-16.0722075,-56.8569946
ebird0032,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS487065187,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2010,-16.3786111,-56.6208333
ebird0033,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS110789289,Brazil,Mato Grosso,treed pasture along Transpantaneira,2010,-16.70098,-56.84333
ebird0034,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS487289761,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2010,-16.3786111,-56.6208333
ebird0035,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS99068997,Brazil,Mato Grosso,pouso alegre,2010,-16.5572272,-56.7646408
ebird0036,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS961578244,Brazil,Mato Grosso,Cristalino Lodge--Limão,2011,-9.5381324,-55.9032333
ebird0037,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS576950270,Brazil,Mato Grosso,Poconé--Fazenda Santa Tereza (SouthWild Pantanal),2011,-16.7581146,-56.8772335
ebird0038,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS126960227,Brazil,Mato Grosso,Pantanal--Rio Pixaim vicinity,2011,-16.7480953,-56.857471
ebird0039,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS633481432,Brazil,Mato Grosso do Sul,Hotel Fazenda Rio Formoso,2011,-21.1125373,-56.3891443
ebird0040,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS126952239,Brazil,Mato Grosso,Pantanal--P. Jofre boat on Rio Cuiabá & tributaries,2011,-17.2826279,-56.6988087
ebird0041,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS126884283,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2011,-16.3786111,-56.6208333
ebird0042,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS126952902,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2011,-17.3645242,-56.7751122
ebird0043,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS125691891,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2011,-17.3645242,-56.7751122
ebird0044,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS667427113,Brazil,Pará,FLONA Carajás--Trilha Paulo Fontelles,2011,-5.9650067,-50.3647345
ebird0045,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS126882137,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2011,-16.3786111,-56.6208333
ebird0046,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS126884804,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2011,-16.3786111,-56.6208333
ebird0047,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS382157996,Brazil,Mato Grosso,Poconé--Fazenda Santa Tereza (SouthWild Pantanal),2012,-16.7581146,-56.8772335
ebird0048,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS365885237,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2012,-16.5122399,-56.7117691
ebird0049,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS162327164,Brazil,Mato Grosso do Sul,"Embiara Lodge, Mato Grosso Sud",2012,-19.579402,-56.106369
ebird0050,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS162386767,Brazil,Mato Grosso do Sul,"Embiara Lodge, Mato Grosso Sud",2012,-19.579402,-56.106369
ebird0051,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS161579765,Brazil,Mato Grosso,"Araras Eco Lodge, Cuiaba, Pantanal, Brazil",2012,-16.5123524,-56.7117685
ebird0052,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS945828526,Brazil,Mato Grosso do Sul,Fazenda Baia Grande,2012,-20.4084718,-56.3422894
ebird0053,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS380337822,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2012,-16.3786111,-56.6208333
ebird0054,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS265123074,Brazil,Mato Grosso,Pantanal -- Pousada Rio Mutum,2012,-16.345982,-55.8630431
ebird0055,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS185088844,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2012,-16.3786111,-56.6208333
ebird0056,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS365826300,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2012,-16.5122399,-56.7117691
ebird0057,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS163593077,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2012,-16.3786111,-56.6208333
ebird0058,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS814706057,Brazil,Mato Grosso do Sul,Parque Nacional Serra da Bodoquena,2012,-21.1325508,-56.6233123
ebird0059,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS161936661,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2012,-16.3786111,-56.6208333
ebird0060,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS162240593,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2012,-16.3786111,-56.6208333
ebird0061,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS162495261,Brazil,Mato Grosso,"Araras Eco Lodge, Cuiaba, Pantanal, Brazil",2012,-16.5123524,-56.7117685
ebird0062,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS161863126,Brazil,Mato Grosso,Poconé--Fazenda Santa Tereza (SouthWild Pantanal),2012,-16.7581146,-56.8772335
ebird0063,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS162498017,Brazil,Mato Grosso,"Araras Eco Lodge, Cuiaba, Pantanal, Brazil",2012,-16.5123524,-56.7117685
ebird0064,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS161938587,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2012,-16.3786111,-56.6208333
ebird0065,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS163668606,Brazil,Mato Grosso,"Pantanal--Transpantanaria Highway, North of Porto Jofre",2012,-17.2601964,-56.9075417
ebird0066,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS866963201,Brazil,Mato Grosso,"Pousada do Mutum Lodge, Mata Grosso, Brazil",2012,-14.8671151,-55.5426324
ebird0067,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS163692648,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2012,-17.3645242,-56.7751122
ebird0068,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS366284376,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2012,-16.5122399,-56.7117691
ebird0069,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS163756990,Brazil,Mato Grosso,Pantanal--Pous0 Alegre Lodge,2012,-16.5028049,-56.7452379
ebird0070,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS163757574,Brazil,Mato Grosso,Pantanal--Pous0 Alegre Lodge,2012,-16.5028049,-56.7452379
ebird0071,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS162361032,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2012,-16.3786111,-56.6208333
ebird0072,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS163689835,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2012,-17.3645242,-56.7751122
ebird0073,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS204233174,Brazil,Pará,Rio Azul Jungle Lodge,2013,-9.2466507,-55.9879589
ebird0074,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS218103353,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2013,-17.3645242,-56.7751122
ebird0075,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS207093819,Brazil,Mato Grosso,Poconé--Fazenda Santa Tereza (SouthWild Pantanal),2013,-16.7581146,-56.8772335
ebird0076,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS206811184,Brazil,Mato Grosso,Pantanal -- Pousada Pouso Alegre,2013,-16.5030776,-56.7453337
ebird0077,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS224851660,Brazil,Mato Grosso,Pantanal--Trecho Sul da Transpantaneira (km 120 até Porto Jofre),2013,-17.1174301,-56.9291611
ebird0078,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS209880080,Brazil,Mato Grosso do Sul,Fazenda Barranco Alto,2013,-19.5772183,-56.1508656
ebird0079,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS207097843,Brazil,Mato Grosso,Poconé--Fazenda Santa Tereza (SouthWild Pantanal),2013,-16.7581146,-56.8772335
ebird0080,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS212659989,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2013,-17.3645242,-56.7751122
ebird0081,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS210889764,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2013,-17.3645242,-56.7751122
ebird0082,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS206654089,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2013,-16.3786111,-56.6208333
ebird0083,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS224399968,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2013,-16.3786111,-56.6208333
ebird0084,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS217957334,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2013,-17.3645242,-56.7751122
ebird0085,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS464494965,Brazil,Mato Grosso,Pantanal -- Pousada Pouso Alegre,2013,-16.5030776,-56.7453337
ebird0086,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS214912840,Brazil,Mato Grosso,Rio Cristalino--general area and historical lists,2013,-9.5972613,-55.9311079
ebird0087,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS207125481,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2013,-16.3786111,-56.6208333
ebird0088,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS206651546,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2013,-16.3786111,-56.6208333
ebird0089,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS211504817,Brazil,Mato Grosso,Pousada Piquiri,2013,-17.3310637,-56.5949482
